author,source_file,poem_index,poem_id,text_head,title,period,evidence_grade,basis
蘇軾,poet.song.44000.json,10,poet.song.44000.json#162,真人已不死，外慕墮空虛。,過安樂山聞山上木葉有文如道士篆符云此山乃張道陵所寓二首  其二,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,11,poet.song.44000.json#163,曾聞五月到渝州，水拍長亭,渝州寄王道矩,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,12,poet.song.44000.json#164,船上看山如走馬，倏忽過去,江上看山,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,13,poet.song.44000.json#165,終日鎖筠籠，回頭惜翠茸。,涪州得山胡次子由韵,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,14,poet.song.44000.json#166,山前江水流浩浩，山上蒼蒼,留題仙都觀,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,15,poet.song.44000.json#167,日月何促促，塵世苦局束。,仙都山鹿,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,16,poet.song.44000.json#168,縮頸夜眠如凍龜，雪來惟有,江上值雪效歐陽體限不以鹽玉鶴鷺絮蝶飛舞之類爲比仍不使皓白潔素等字次子由韵,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,17,poet.song.44000.json#169,楚人悲屈原，千載意未歇。,屈原塔,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,18,poet.song.44000.json#170,山頭孤石遠亭亭，江轉船回,望夫臺,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,19,poet.song.44000.json#171,蒼梧山高湘水深，中原北望,竹枝歌,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,20,poet.song.44000.json#172,石壁高千尺，微蹤遠欲無。,過木櫪觀,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,21,poet.song.44000.json#173,平沙何茫茫，彷彿見石蕝。,八陣磧,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,22,poet.song.44000.json#174,五行水本鹹，安擇江與井。,諸葛鹽井,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,23,poet.song.44000.json#175,朔風催入峽，慘慘去何之。,白帝廟,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,24,poet.song.44000.json#176,自昔懷幽賞，今茲得縱探。,入峽,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,25,poet.song.44000.json#177,瞿塘迤邐盡，巫峽崢嶸起。,巫山,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,26,poet.song.44000.json#178,群飛來去噪行人，得食無憂,巫山廟上下數十里有烏鳶無數取食於行舟之上舟人以神之故亦不敢害,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,27,poet.song.44000.json#179,大江從西來，上有千仞山。,神女廟,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,28,poet.song.44000.json#180,萊公昔未遇，寂寞在巴東。,過巴東縣不泊聞頗有萊公遺迹,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,29,poet.song.44000.json#181,昭君本楚人，艷色照江水。,昭君村,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,30,poet.song.44000.json#182,扁舟轉山曲，未至已先驚。,新灘,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,31,poet.song.44000.json#183,北風吹寒江，來自兩山口。,新灘阻風,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,32,poet.song.44000.json#184,江邊石壁高無路，上有黄牛,黄牛廟,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,33,poet.song.44000.json#185,蟆背似覆盂，蟆頤似偃月。,蝦蟆培,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,34,poet.song.44000.json#186,入峽喜巉巌，出峽愛平曠。,出峽,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,35,poet.song.44000.json#187,凍雨霏霏半成雪，游人屨凍,遊三游洞,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,36,poet.song.44000.json#188,一徑繞山翠，縈紆去似蛇。,遊洞之日有亭吏乞詩既爲留三絕句於洞之石壁明日至峽州吏又至意若未足乃復以此詩授之,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,37,poet.song.44000.json#189,口舌安足恃，韓非死說難。,寄題清溪寺,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,38,poet.song.44000.json#190,輕舟橫江來，弔古悲純孝。,留題峽州甘泉寺,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,39,poet.song.44000.json#191,夷陵雖小邑，自古控荆吳。,夷陵縣歐陽永叔至喜堂,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,40,poet.song.44000.json#192,帝息此壤，以藩幽臺。有神,息壤詩,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,41,poet.song.44000.json#193,渚宮寂寞依古郢，楚地荒茫,渚宮,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,42,poet.song.44000.json#194,游人出三峽，楚地盡平川。,荆州十首  其一,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,43,poet.song.44000.json#195,南方舊戰國，慘澹意猶存。,荆州十首  其二,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,44,poet.song.44000.json#196,楚地闊無邊，蒼茫萬頃連。,荆州十首  其三,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,45,poet.song.44000.json#197,朱檻城東角，高王此望沙。,荆州十首  其四,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,46,poet.song.44000.json#198,沙頭烟漠漠，來往厭喧卑。,荆州十首  其五,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,47,poet.song.44000.json#199,太守王夫子，山東老俊髦。,荆州十首  其六,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,48,poet.song.44000.json#200,殘臘多風雪，荆人重歲時。,荆州十首  其七,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,49,poet.song.44000.json#201,江水深成窟，潛魚大似犀。,荆州十首  其八,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,50,poet.song.44000.json#202,北雁來南國，依依似旅人。,荆州十首  其九,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,51,poet.song.44000.json#203,柳門京國道，驅馬及春陽。,荆州十首  其一○,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,52,poet.song.44000.json#204,泉源從高來，走下隨石脈。,荆門惠泉,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,53,poet.song.44000.json#205,楚人少井飲，地氣常不洩。,次韵答荆門張都官維見和惠泉詩,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,54,poet.song.44000.json#206,富貴本無定，世人自榮枯。,浰陽早發,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,55,poet.song.44000.json#207,天高夜氣嚴，列宿森就位。,夜行觀星,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,56,poet.song.44000.json#208,捨棹忽逾月，沙塵困遠行。,漢水,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,57,poet.song.44000.json#209,野鷹來，萬山下，荒山無食,襄陽古樂府三首 野鷹來,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,58,poet.song.44000.json#210,臺上有客吟秋風，悲聲蕭散,襄陽古樂府三首 上堵吟,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,59,poet.song.44000.json#211,使君未來襄陽愁，提戈入市,襄陽古樂府三首 襄陽樂,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,60,poet.song.44000.json#212,遠客來自南，游塵昏峴首。,峴山,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,61,poet.song.44000.json#213,西行度連山，北出臨漢水。,萬山,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,62,poet.song.44000.json#214,諸葛來西國，千年愛未衰。,隆中,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,63,poet.song.44000.json#215,楚人汲漢水，釀酒古宜城。,竹葉酒,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,64,poet.song.44000.json#216,曉日照江水，遊鱼似玉瓶。,鯿魚,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,65,poet.song.44000.json#217,雄雉曳修尾，驚飛向日斜。,食雉,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,66,poet.song.44000.json#218,新渠之水，其來舒舒。溢流,新渠詩  其一,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,67,poet.song.44000.json#219,新渠之田，在渠左右。渠來,新渠詩  其二,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,68,poet.song.44000.json#220,新渠之民，自淮及潭。挈其,新渠詩  其三,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,69,poet.song.44000.json#221,侯謂新民，爾既來止。其歸,新渠詩  其四,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,70,poet.song.44000.json#222,築室於唐，孔碩且堅。生爲,新渠詩  其五,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,71,poet.song.44000.json#223,西湖小雨晴，灧灧春渠長。,許州西湖,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,72,poet.song.44000.json#224,王喬古仙子，時出觀人寰。,雙鳬觀,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,73,poet.song.44000.json#225,人情難强回，天性可微感。,潁大夫廟,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,74,poet.song.44000.json#226,阮生古狂達，遁世默無言。,阮籍嘯臺,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,75,poet.song.44000.json#227,古驛無人雪滿庭，有客冒雪,大雪獨留尉氏有客入驛呼與飲至醉詰旦客南去竟不知其誰,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,76,poet.song.44000.json#228,昔日朱公子，雄豪不可追。,朱亥墓,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,77,poet.song.44000.json#229,高人豈學畫，用筆乃其天。,次韵水官詩,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,78,poet.song.44000.json#230,不飲胡爲醉兀兀，此心已逐,辛丑十一月十九日既與子由別於鄭州西門之外馬上賦詩一篇寄之,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,79,poet.song.44000.json#231,人生到處知何似，應似飛鴻,和子由澠池懷舊,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,80,poet.song.44000.json#232,都城日荒廢，往事不可還。,次韵劉京兆石林亭之作石本唐苑中物散流民間劉購得之,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,81,poet.song.44000.json#233,冬十二月歲辛丑，我初從政,鳳翔八觀 石鼓歌,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,82,poet.song.44000.json#234,崢嶸開元寺，彷彿祈年觀。,鳳翔八觀 詛楚文,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,83,poet.song.44000.json#235,何處訪吳畫，普門與開元。,鳳翔八觀 王維吳道子畫,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,84,poet.song.44000.json#236,昔者子輿病且死，其友子祀,鳳翔八觀 維摩像唐楊惠之塑在天柱寺,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,85,poet.song.44000.json#237,吾家蜀江上，江水清如藍。,鳳翔八觀 東湖,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,86,poet.song.44000.json#238,山川與城郭，漠漠同一形。,鳳翔八觀 真興寺閣,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,87,poet.song.44000.json#239,朝遊北城東，回首見修竹。,鳳翔八觀 李氏園,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,88,poet.song.44000.json#240,橐泉在城東，墓在城中無百,鳳翔八觀 秦穆公墓,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,89,poet.song.44000.json#241,薄宦驅我西，遠別不容惜。,次韵子由辛丑除日見寄,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,90,poet.song.44000.json#242,短竹蕭蕭倚北牆，斬茅披棘,新葺小園二首  其一,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,91,poet.song.44000.json#243,三年輒去豈無鄉，種樹穿池,新葺小園二首  其二,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,92,poet.song.44000.json#244,遠人罹水旱，王命釋俘囚。,壬寅二月有詔令郡吏分往屬縣減决囚禁自十三日受命出府至寶雞虢郿盩厔四縣既畢事因朝謁太平宮而宿於南溪溪堂遂並南山而西至樓觀大秦寺延生觀仙遊潭十九日乃歸作詩五百言以記凡所經歷者寄子由,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,93,poet.song.44000.json#245,馬上續殘夢，不知朝日昇。,太白山下早行至橫渠鎮書崇壽院壁,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,94,poet.song.44000.json#246,溪山愈好意無厭，上到巉巉,留題延生觀後山上小堂,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,95,poet.song.44000.json#247,清潭百尺皎無泥，山木陰陰,留題仙遊潭中興寺寺東有玉女洞洞南有馬融讀書石室過潭而南山石益奇潭上有橋畏其險不敢渡,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,96,poet.song.44000.json#248,門前古碣卧斜陽，閱世如流,樓觀,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,97,poet.song.44000.json#249,衣中甲厚行何懼，塢裏金多,郿塢,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,98,poet.song.44000.json#250,墨突不暇黔，孔席未嘗暖。,磻溪石,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,99,poet.song.44000.json#251,平時戰國今無在，陌上征夫,石鼻城,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,100,poet.song.44000.json#252,誰人築短牆，橫絕擁吾堂。,次韵子由岐下詩 北亭,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
