pid,Bei,Quan,Man,Ziran,Konghuan
Q150,0,0,0,1,1
Q151,2,1,0,2,2
Q152,0,1,1,2,0
Q153,2,2,1,0,0
Q154,0,0,0,0,0
Q155,1,1,2,1,1
Q156,1,3,2,2,1
Q157,0,0,1,1,1
Q158,1,2,1,1,0
Q159,1,3,1,2,0
Q160,1,2,0,2,0
Q161,0,0,2,3,1
Q162,0,0,2,2,0
Q163,2,1,0,2,2
Q164,1,2,2,3,0
Q165,0,0,1,2,0
Q166,1,0,1,2,1
Q167,2,1,1,0,1
Q168,2,2,0,2,1
Q169,0,0,2,1,2
Q170,1,1,2,2,1
Q171,1,1,2,2,0
Q172,2,2,1,1,0
Q173,1,1,1,1,1
Q174,1,1,0,2,0
Q175,0,0,1,2,1
Q176,1,0,0,2,2
Q177,2,0,0,1,1
Q178,2,0,0,1,2
Q179,0,0,0,0,0
Q180,0,0,1,2,1
Q181,1,0,1,1,1
Q182,0,0,0,0,1
Q183,0,0,1,1,1
Q184,2,1,0,2,2
Q185,0,1,1,2,0
Q186,1,0,0,1,0
Q187,1,0,0,2,0
Q188,2,1,0,2,0
Q189,0,0,0,0,0
Q190,2,0,0,1,1
Q191,0,0,1,2,0
Q192,0,0,1,2,0
Q193,2,0,0,2,1
Q194,0,0,3,3,0
Q195,1,1,1,1,2
Q196,0,0,2,1,0
Q197,2,0,0,1,1
Q198,0,0,1,3,0
Q199,0,0,0,1,1
Q200,0,1,0,1,0
Q201,0,0,1,3,0
Q202,0,0,0,0,0
Q203,0,1,0,2,0
Q204,2,0,1,2,1
Q205,0,0,1,1,0
Q206,2,3,0,0,0
Q207,0,0,1,2,0
Q208,3,3,0,2,1
Q209,2,2,1,1,2
Q210,0,0,0,1,2
Q211,0,0,1,2,0
Q212,1,1,0,3,2
Q213,2,1,0,2,2
Q214,1,0,0,1,2
Q215,2,0,0,2,2
Q216,1,0,0,1,0
Q217,0,0,0,2,0
Q218,3,2,0,2,2
Q219,0,1,0,1,0
Q220,1,3,2,3,0
Q221,0,0,1,2,1
Q222,0,0,3,3,0
Q223,0,0,0,0,0
Q224,2,3,0,2,1
Q225,0,0,1,1,0
Q226,1,0,1,3,0
Q227,1,0,0,1,1
Q228,0,0,2,2,1
Q229,0,0,0,0,0
Q230,0,0,0,1,1
Q231,1,0,0,2,2
Q232,1,0,2,2,1
Q233,2,3,1,2,1
Q234,0,1,2,3,0
Q235,2,2,1,2,2
Q236,0,0,1,2,1
Q237,1,0,3,2,1
Q238,1,0,2,1,1
Q239,0,0,1,2,0
Q240,1,0,0,0,2
Q241,0,0,3,2,0
Q242,0,0,3,2,1
Q243,2,0,0,3,1
Q244,1,1,3,2,1
Q245,1,0,2,1,0
Q246,0,0,2,2,0
Q247,2,0,1,0,1
Q248,0,0,3,1,0
Q249,1,0,1,1,0
Q250,1,2,0,3,1
Q251,1,0,3,3,0
Q252,1,0,0,0,0
Q253,2,0,1,2,2
Q254,0,0,2,3,0
Q255,0,0,0,1,1
Q256,1,0,1,2,0
Q257,0,1,0,1,0
Q258,2,0,0,2,2
Q259,0,0,0,1,1
Q260,2,2,0,3,1
Q261,2,0,0,2,2
Q262,1,0,1,3,1
Q263,2,1,0,2,1
Q264,1,0,1,2,1
Q265,0,0,2,2,2
Q266,0,0,2,3,0
Q267,0,0,1,2,0
Q268,2,1,0,0,2
Q269,1,1,0,3,2
Q270,0,0,0,0,0
Q271,1,0,0,0,0
Q272,1,1,0,1,0
Q273,0,1,1,1,0
Q274,1,1,1,1,0
Q275,2,0,1,3,2
Q276,0,0,0,0,0
Q277,0,0,2,3,0
Q278,0,0,0,2,0
Q279,0,0,1,1,0
Q280,0,0,0,3,0
Q281,1,0,0,3,2
Q282,0,0,1,2,0
Q283,0,0,0,0,0
Q284,2,0,0,2,2
Q285,0,1,2,2,0
Q286,0,0,0,0,0
Q287,1,1,0,2,1
Q288,0,0,0,0,0
Q289,0,0,3,3,0
Q290,0,1,0,1,0
Q291,0,0,0,0,0
Q292,1,0,1,1,0
